human_csv,cache_subfolder,model_csv_relpath,model_csv_path,metric,method,predictor_column,n_bootstrap,n_rows_aligned,n_human_correlation_smaller,pct_human_correlation_smaller
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143246gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,CSS_result/Cache/20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,spearman_rho_gbvs_mean,spearman,mean_gbvs,10000,1306,326,3.26
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143413google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,CSS_result/Cache/20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,pearson_r_area,pearson,mask_area_pixels,10000,1306,1585,15.85
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143413google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,CSS_result/Cache/20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,spearman_rho_area,spearman,mask_area_pixels,10000,1306,914,9.14
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143413google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,CSS_result/Cache/20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,pearson_r_center_dist,pearson,center_distance_pixels,10000,1306,7904,79.04
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143413google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,CSS_result/Cache/20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,spearman_rho_center_dist,spearman,center_distance_pixels,10000,1306,8828,88.28
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143413google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,CSS_result/Cache/20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,pearson_r_person,pearson,person_bin,10000,1306,10000,100.0
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143413google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,CSS_result/Cache/20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,spearman_rho_person,spearman,person_bin,10000,1306,10000,100.0
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143413google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,CSS_result/Cache/20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,pearson_r_gbvs,pearson,max_gbvs,10000,1306,5820,58.2
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143413google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,CSS_result/Cache/20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,spearman_rho_gbvs,spearman,max_gbvs,10000,1306,6057,60.57
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143413google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,CSS_result/Cache/20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,pearson_r_gbvs_mean,pearson,mean_gbvs,10000,1306,5612,56.12
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143413google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,CSS_result/Cache/20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,spearman_rho_gbvs_mean,spearman,mean_gbvs,10000,1306,5144,51.44
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_143652google_gemma-4-E2B-it,20260428_143652google_gemma-4-E2B-it/scored_descriptions_20260428_143652.csv,CSS_result/Cache/20260428_143652google_gemma-4-E2B-it/scored_descriptions_20260428_143652.csv,pearson_r_area,pearson,mask_area_pixels,10000,1306,2499,24.99
